Title, Artist, Duration, URL, id
Search and Destroy,30 seconds to Mars,5:37,http://cs4402.vk.me/u18280737/audios/4d870424a230.mp3?extra=GV6Qn1AgxiuASq9g7jlJcNbid-ToUuqTMiEjzULLbG9xAghucrxjQujhzi3C05ZwZCmMxVohsDOacs30u1wJl96cGjVJvVI,http://vk.me/49572709_68675989
I love you\, and I love you\, and I hope that you love me too ... and I need you\, and I hope you need me too . Babe\, I just hope that you know\, To never let me go\, Cause when I comes to forever\,We should be together...,Tiesto    In Search Of Sunrise 7 Asia,5:07,http://cs4834.vk.me/u44135445/audios/28b1b629eb91.mp3?extra=JoAEO5O5BixXtvdaRNtv1fO-ifig0-NjX-fns0pCJhJ8g4hAcYnGTykLRolorU-a5vjQhxv9yTeeR9ES3m5neVmLhXfi,http://vk.me/422071_73473579
Silence (DJ Tiesto's In Search Of Sunrise Remix),03 Delerium feat. Sarah McLachlan,8:36,http://cs4766.vk.me/u15902660/audios/f39dfc27925f.mp3?extra=X4253NpEvSyh-EpgcKTMoD9ElO9TD5rH3mGY4pcrBm4DwYvYFkoNVQjHjEbqI3HWIegb2p2aeWk3KCf2KPXigxheTqOcFdQ,http://vk.me/15902660_89577009
Search And Destroy,Iggy Pop &amp; The Stooges,3:29,http://cs1751.vk.me/u22202161/audios/ae9665d40436.mp3?extra=FRuHF3gJEuTqP7eLySjyka5zqy5ngkUwyLZCvsaM172flF9dz2U4FQXPJTlAVN6So3-1hgBDnlYiemhwneKNDBinSh8UffQ,http://vk.me/22202161_48262040
Search Party,Enter Shikari,4:06,http://cs5618.vk.me/u47104455/audios/c3c5325e13b9.mp3?extra=3zMxMLTdTDFLOH_9EngpA7cwo7jDzGLInNApWCioPdMpKUULadnpnXzBTPfZM25PBMn7QM_EWI9uHqv-kwgWkzQGfCfFN3lpVQ,http://vk.me/-22800250_133638299
(www.mp3vip.org) Free mp3 music search and download,DARA &amp; Carla's Dreams,3:42,http://cs6106.vk.me/u190831261/audios/95d88e6f970c.mp3?extra=fo-4-XcVUXqMoJYVYhcJVQFzq2vYEx6neuL5P3xklxiN9Z31Ssu1CiKg7Hjcz3XckAP3Cp-gDhKb2dt0j1AdDwEFf-nT6Wj6_g,http://vk.me/190831261_178147711
Search And Destroy,Skunk Anansie,4:25,http://cs4801.vk.me/u17526186/audios/a682df42e6d0.mp3?extra=c2Q_XQ1wrrUoNEIJh5KBI4DC0X8SdvyCb4CQar21M6fCdcgrrvBIM373n4QZFs71EI1wYOyh9xbI3kdpY8B7iwBTkda1OEE,http://vk.me/3369837_108757896
Search and Destroy (OST   / Sucker punch / 2011),Skunk Anansie,4:24,http://cs5038.vk.me/u7770614/audios/8e26acc1b93d.mp3?extra=XiWrk23RMTewQ6vg3nVZgqqEZfoIJm1-3F-4v6vFfdVW4sk9PiGdy2AY0anJI8S9x97EAWSddoYO6c7DvOq5jLg_KUD_bPG-,http://vk.me/56132932_108112047
Still I Wait (Richard Durand's In Search of Sunrise Mix),Jonas Steur feat. Jennifer Rene,7:15,http://cs4859.vk.me/u78784961/audios/fcff151b833f.mp3?extra=5cwNcHPQ4QGHtAUFsi7tYUoqk9ojDDdQnuphkr5yC0tyq9CwmiMXh-MUyNmW8K030TzlNgRBaWQs95Deawxy1DjpSuommw,http://vk.me/532829_109652800
In Search Of,Miike Snow,5:15,http://cs4490.vk.me/u3016274/audios/20cbb786e9e0.mp3?extra=PzlLPGqRz2BtfqbQHWaBhd_4xtNl4TAneP8mKcqE4WOjCSEe8gaukY-gIwhmfjNnMW-3TLf4o1Hi57i9WxLzvO5XwAQ7aA,http://vk.me/3016274_66904324
I'd Come For You ...I finally know just what it means to let someone in Just see the side of me that no one does or ever will So if you're ever lost and find yourself all alone I'd search forever just to bring you home..,Nickelback,4:22,http://cs5001.vk.me/u27315445/audios/4e27c7a0b51a.mp3?extra=Mx0-8MNTq1ZOOdltEftio7amX9tdChZpNNlX08OXlFgqxdCjMdFIbu5sE9hY1_zhVk8Xx6t0v10bYOw3MM5Dhvwfm4JxLTA,http://vk.me/32742747_87091718
In Search Of Beauty,MiMOSA,3:12,http://cs4851.vk.me/u89212142/audios/fc15802b6043.mp3?extra=izIQPQQ817lAnBDSc3L1thcGBWtI4wBSyJy9E1adzzC7Cn176fdHklM4KQgdO6mBRcAN-fUiadyHr92KYw-iMtVY-vVTPWE,http://vk.me/6661210_109629522
Search and Destroy,Iggy Pop &amp; the Stooges,3:29,http://cs1333.vk.me/u6189694/audios/f580340908c4.mp3?extra=rnrRejdaRjcxLJ7yMoa3IwfuGmaY4Nmus9gbcy3yhhQtD8VrEetHV93Euu_vyaHcXeba6gC4rrDnH8oyWQ6lpDMVBAttCw,http://vk.me/6189694_21966856
Search Party,Enter Shikari,4:05,http://cs5903.vk.me/u147245499/audios/e5cb65cce78a.mp3?extra=hd_s3hVm1bzyOsMZzHzcRi7kZZv1n6n1OXqYyBX1WUkb7iyeVUGHfBiYCJQfVi2I1aULlLZK6m2r4vFUHzZrJLBWlL6XQn75,http://vk.me/22640703_132705695
Tears From The Moon (Dj Tiesto In Search Of Sunrise Remix),Conjure One feat Sinead O'Connor,8:12,http://cs4715.vk.me/u99340595/audios/8ae45e802270.mp3?extra=m1qZdCQk905dtbkzUxrZRXoDG6VkBNDtQ6FFV-hVBSsBP6iQ_K_iflfxLwaANYRK9o-qIIQAdWbsP_f_dm1GD_niJpEFhCU,http://vk.me/99340595_85148889
The Search Is Over,Survivor,4:13,http://cs5125.vk.me/u82864935/audios/01c8e058f6b2.mp3?extra=NwazuAfrfrCG9nXB9XpewlbVZJM7UAS2xMK3WkFcz8jjoYJ4hwqtJTnMGUVzvTV_yHupB_yQLFHx9xIVztok1SH-YJjNgNM,http://vk.me/82864935_78146018
http://abusalman.spaces.ru/music/?LI=32298955209&amp;LII=3929835806&amp;LT=8&amp;SN=7&amp;from=search&amp;link_id=1594174&amp;read=39298358, ,4:59,http://cs536602.vk.me/u89738484/audios/73d19ef8565c.mp3?extra=cF_lzhCqGCoD50bLV34jquPTgaF2PESk5nImdMvOk_EHhQo8WQjdfMprjEZmzCRU84KfsBPhCHwC2dnAa-rTqQ0WGy4jkEXU,http://vk.me/89738484_241725939
Sied van Riel - Rush,2008 In Search Of Sunrise 7 (CD 2) Tiesto,5:00,http://cs4650.vk.me/u55602512/audios/575cc3bde968.mp3?extra=s92f6yUXQXy5OyzwCjYjNlK_TmgIYRXZe_Hih26Q1jtcmgWzHY3w1I9n7TV7--qiSgUpv0wklFiUb_dMepnjR3ppZw2vt3BO,http://vk.me/-15126062_73773975
Silence (DJ Tisto's In Search Of Sunrise Remix),Delerium feat. Sarah McLachlan,11:35,http://cs1628.vk.me/u20595377/audios/fe47f2dfaf3c.mp3?extra=YL5oSNH2NNn24-lo9LeFDH5w6mi0bSGyJcYDI-xL3jTXSEJmfr9dvWbpJJ4ryY-0bOKCJiWwP2A7uCVNv9WDPO2b-SDdwr93,http://vk.me/14095385_102908190
Search And Destroy,The Stooges,3:29,http://cs4601.vk.me/u995122/audios/a0f522482063.mp3?extra=oEpoWiFvqC8DdW3gHlduBKTaj7R3ssRYfgT7_VDTfTPWCiJFdAbG3tYvfh1flv1BJW_79xxyTvahWbAEoLFoK4lkf_ml,http://vk.me/995122_86377259
In Search Of Salvation,Glamour Of The Kill,3:25,http://cs5004.vk.me/u93473920/audios/f33506e4751c.mp3?extra=jlnE6jw1cB7-7cz3DYhHGuDAHyVeJiFojfP6OVP6jJHNI_E6bNZa-Z2aWo_kkfrZMr37KRoESRD_47INzDFFmefL66ENGQ,http://vk.me/8156384_84447244
Andy Duguid featuring Leah - Wasted,2008 In Search Of Sunrise 7 (CD 1) Tiesto,4:18,http://cs4650.vk.me/u55602512/audios/4ec403f284d4.mp3?extra=1KTXpopedRPU5hXkxuRDiNFAObzkF3bmPLhJLW7ATvp5b9z4Rz_NpfkWu_UJhBGEDJtbGM74t0D-F94kk8RIh3Ks0i1HQK6L,http://vk.me/-15126062_73774234
Search And Destroy,30 Seconds To Mars,5:37,http://cs4540.vk.me/u13029126/audios/ba3461dd38f5.mp3?extra=PhkSLs8sQJsWYsv-lZl4rxGMS2Zy6TTo_3_Y6iqnoFOEHYvkCOAN_63bcpRlbaID3B6TutAKPDB-UHYOK_8EsZ5f3RmqG6gmqg,http://vk.me/202013852_196355688
Still I Wait (In Search Of Sunrise Remix),Jonas Steur Feat. Jennifer Rene,4:41,http://cs4864.vk.me/u102023163/audios/e19670ab0ca5.mp3?extra=54-7IvxFfrz3wSwJjqHoZzWLlCGOA43_TM0svrv1Ny38IFRriLGYWYl5pWk4jEbt7qIyEZcpiMhYYDFy969TUOlvW77JTm0,http://vk.me/2224705_109291753
Search And Destroy,*30 Seconds To Mars,5:38,http://cs4984.vk.me/u10137735/audios/17dd14149dcd.mp3?extra=GFbxhmmk6rXMiN7eOUN4NT62zYH_l-AUXXyszuqWza-8MyOteKcXL8uEIVVQVFLuuwhmRkB8VSQQOObILpGjDl97OULrQwy5,http://vk.me/25797398_105292006
Tell me  (In Search of Sunrise 6 Ibiza),Dj Tiesto &amp; Jessica,5:25,http://cs5123.vk.me/u15373478/audios/29e9223e3776.mp3?extra=3uex83O5AecxuPZw1c6M5z5Q4m6sfFTrGOsmkn-iAddX1K6dQ7d8Me5pAEPjGpEFTBmEQgJg9CULqEmMi7m7239ZxB832Mo,http://vk.me/5465623_114002753
Hide And Seek (Tiesto's In Search Of Sunrise Remix),Imogen Heap,8:32,http://cs1028.vk.me/u985843/audios/ab81496ff791.mp3?extra=0_JqDoSSYwJdNWAgJX8J2DNc9-58XQ04tu3za-hpZlcdRWRLMs_WPUUsSfe91g_SRH3-bWOj7gAgCK80UvOJixavWDMJLyQ,http://vk.me/15902660_86682658
Search The Bitch (Original Mix) ,Puce,7:16,http://cs6257.vk.me/u6431439/audios/52f366a3bfbf.mp3?extra=4jGajhE4gS9S2io-ZPw_cX3H1bbk6DAnBb0dYkZpGL_7LWw8wlzOa3tDukto9ESLGVTmI_6q78G__frrawWwmgitsDYjVy0,http://vk.me/6431439_181687722
(remix by  ),Mezza Morta feat.  \, Jamille   http://isearch.avg.com/search?cid={75564492-38C5-4887-A276-CAFEBFC00981}&amp;mid=c535811c82f94f3b8da641573d2350b2-b79cef6a70f9f5b4bee69ea77db7a03321709cd2&amp;lang=en&amp;ds=hk011&amp;pr=sa&amp;d=2012-06-26%2023:30:2,3:30,http://cs4804.vk.me/u8163890/audios/5198c5c062a5.mp3?extra=LfEQ-nEh80Vs1HCCbwTbZjVe0ocoxuOF14JksijGJ1EEquktAy8X4KiyAsaJwZzsOFbAKTM-s7da_OV8ekVUOOdvsKt8SIUQFA,http://vk.me/116316420_141330046
Nobody But You (Shimmer Remix),Search DiP,7:25,http://cs521211.vk.me/u6532338/audios/9f5fd0688692.mp3?extra=MPacNsE82iyFMtUm8VKosUyWcMF_mouIjGCLKE6SXT06Z8WczMGQag9pB-2jZD6KK65quMNcRkwdhGOUHHUcip1HOkP8M1w,http://vk.me/6532338_194177214
Soul Search,Pat Metheny,9:20,http://cs4875.vk.me/u21334030/audios/57dd19314c1f.mp3?extra=EPngPGLQDy9ufEJMekfhrCXFx0gHfnHVieHwF-fdLqWqPoDm4QNUOCUmHYdQCoDtkpYNiCvI2M7zR8dc8rTNZMeNJJOgZQc,http://vk.me/21334030_78396266
Running On Empty (Club Mix) (Richard Durands In Search Of Sunrise Edit),Richard Durand &amp; Neev Kennedy,4:50,http://cs536411.vk.me/u41708285/audios/f27d8b72b283.mp3?extra=uygtR_uE5j0PA8hkSsJ_hRWGn9AHexRrPKb_VxxCoeS0_igBeTlX0otFivP_Hjx8clFaW2UNnIICMdMf9dRa-ClejwukrEwU,http://vk.me/29085055_210493091
(Scratch B-Search),Micfire &amp; Roulette ,2:42,http://cs5321.vk.me/u37739191/audios/3f96b4859e0e.mp3?extra=OoSkgsXxAoxlBGX7f2E-JoCGMZxy9uiYfJn_m1KQJue5kfNLAJ-R8VTzJ3ZSKigFE5JvLVm2z43Qyx6YwpzJSlPS9MtL2v9T,http://vk.me/37739191_146382455
The Search,Bronze Whale + PRFFTT &amp; Svyable ft Koda,4:07,http://cs536605.vk.me/u735656/audios/de35b5932cfb.mp3?extra=jVQyJxWrIQC0II2YhDv_X8fnW_QnKJix2QF-8Pl9IpJgzX8zX_LagpKbSbv0pWAs5-hiOB2yeKuJER41NEn2Q1W60R9KWYIkBg,http://vk.me/-32746404_212725997
Jerry Ropero featuring Cozi - The Storm (Inpetto Remix),2008 In Search Of Sunrise 7 (CD 1) Tiesto,5:36,http://cs4650.vk.me/u55602512/audios/377b5a3a3e61.mp3?extra=s2bM4T4vw2TM_C0V5UB6V7W-0y7jdr8FhK5iQnogN5zaznID9ZISqvlHFw5ZH5YORzA7F4EZvKeUlOFu4kZqeiosV_64qD1b,http://vk.me/-15126062_73774171
Search your heart,Pete Yorn and Scarlett Johansson,3:01,http://cs5060.vk.me/u15775508/audios/3addb0e6ad4e.mp3?extra=yWYiq_lFB0dP31HVrNnVKhh2u-r7DIoeIZ-F9rwL2HnDUxzEbLkkoyknFvGL4Fxsp9JybhW7dXchNCJXqFd-WxUded0gYNA,http://vk.me/15775508_76006044
Luminary - My World (Andy Moor mix),2005 In Search Of Sunrise 4 - Tiesto,6:49,http://cs4723.vk.me/u9664182/audios/1e18dbf262e9.mp3?extra=3xXWgCElOJSnOFg4T2i9xqfnTdJZ3PcgZLqFwzYrXinDnCIl6_pjLh85MamYdS5OtsM76MTf3e9qXOVhBx52arFa91h4t01h,http://vk.me/-15126062_73047705
In Search Of Sunrise Radio 074 (11.02.2012),Richard Durand,59:58,http://cs5404.vk.me/u118582705/audios/79e3bc6e2028.mp3?extra=PpS-gWZ8bG54hYtlj6AaS_iT4qI_R98yfCrFWoemU5YdzFX6m7_jXWQl72lAlDWH4gAQG_7t5oJTyAPbH_VlynzC_JBPO0ACVA,http://vk.me/118582705_137396661
In search of heaven   \, \, \, \, pole dance  Workout music  http://vk.com/music4workout  ,Mad One,2:55,http://cs5426.vk.me/u67016630/audios/0f0af0b0cb78.mp3?extra=Gr4O4T96v90Ta52M-1FtksyGCW7QQ0J68Fp2CHagUieDamtcBYg4iS8BfJspQvzVrPld05qcy-VS_XhARADGUSs105SlLe8,http://vk.me/2698960_170812973
Cary Brothers - Ride (Tiesto Remix),2008 In Search Of Sunrise 7 (CD 1) Tiesto,5:06,http://cs4650.vk.me/u55602512/audios/964944ba720f.mp3?extra=Yv5OyPy3kFxou8N_x32ccRGNj4CBxhQIsPd6qZWHHqfc3jt_83Uk4Se5Ckh79_x472c2g6HEe7k3zfwnWi1XBgXRPqA9dQ22,http://vk.me/-15126062_73774152
2 [vk.com/bass_search],   ,4:34,http://cs4663.vk.me/u12119448/audios/6422fe1ba8d3.mp3?extra=MtA6F-rlQEAuAIjbJo2rlTkX-g87u9acQnw0AYWzpKlgUgbRpl3KMFy9gUH86EtyzuWK4xsNklYuOHJHNTm1ocH26Y0r05KNEQ,http://vk.me/-25914766_160568149
In Search Of Silver (Martin Buttrich Dub),Nick Warren,7:14,http://cs4964.vk.me/u35759420/audios/0ff2db6fe389.mp3?extra=kt5dvEx7q32WzCtq3n1T7YuPSPA5SMW3y8h5e3nx5H4N7KG-SLzo4vpbT2JQX9yuiNaEod1CjqHOVJE3YgDLcPUKLkI,http://vk.me/60224_90761941
